=== ESTRUCTURA COMPLETA DE BASE DE DATOS ===

-- TABLAS Y SUS COLUMNAS
TABLE_NAME                                                                                                                       COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        CHARACTER_MAXIMUM_LENGTH IS_NULLABLE
proveedor                                                                                                                        tipo_documento                                                                                                                   varchar                                                                                                                                                20 NO         
proveedor                                                                                                                        num_documento                                                                                                                    varchar                                                                                                                                                20 NO         
proveedor                                                                                                                        direccion                                                                                                                        varchar                                                                                                                                               100 YES        
proveedor                                                                                                                        telefono                                                                                                                         varchar                                                                                                                                                50 YES        
proveedor                                                                                                                        email                                                                                                                            varchar                                                                                                                                                50 YES        
proveedor                                                                                                                        url                                                                                                                              varchar                                                                                                                                               100 YES        
proveedor_archivos                                                                                                               idarchivo                                                                                                                        int                                                                                                                                                  NULL NO         
proveedor_archivos                                                                                                               idproveedor                                                                                                                      int                                                                                                                                                  NULL NO         
proveedor_archivos                                                                                                               nombre_archivo                                                                                                                   varchar                                                                                                                                               255 NO         
proveedor_archivos                                                                                                               tipo_archivo                                                                                                                     varchar                                                                                                                                                50 NO         
proveedor_archivos                                                                                                               tamano                                                                                                                           int                                                                                                                                                  NULL NO         
proveedor_archivos                                                                                                               contenido                                                                                                                        varbinary                                                                                                                                              -1 NO         
proveedor_archivos                                                                                                               fecha_subida                                                                                                                     datetime                                                                                                                                             NULL NO         
proveedor_archivos                                                                                                               descripcion                                                                                                                      varchar                                                                                                                                               500 YES        
recepcion                                                                                                                        idrecepcion                                                                                                                      int                                                                                                                                                  NULL NO         
recepcion                                                                                                                        idorden                                                                                                                          int                                                                                                                                                  NULL YES        
recepcion                                                                                                                        idproveedor                                                                                                                      int                                                                                                                                                  NULL NO         
recepcion                                                                                                                        idtrabajador                                                                                                                     int                                                                                                                                                  NULL NO         
recepcion                                                                                                                        fecha_recepcion                                                                                                                  datetime                                                                                                                                             NULL YES        
recepcion                                                                                                                        estado_mercancia                                                                                                                 varchar                                                                                                                                                20 YES        
recepcion                                                                                                                        observaciones                                                                                                                    text                                                                                                                                           2147483647 YES        
recepcion                                                                                                                        tiene_devolucion                                                                                                                 bit                                                                                                                                                  NULL YES        
recepcion                                                                                                                        created_at                                                                                                                       datetime                                                                                                                                             NULL YES        
regla_aprendizaje                                                                                                                idregla                                                                                                                          int                                                                                                                                                  NULL NO         
regla_aprendizaje                                                                                                                palabra_clave                                                                                                                    varchar                                                                                                                                               100 NO         
regla_aprendizaje                                                                                                                id_impuesto                                                                                                                      int                                                                                                                                                  NULL NO         
regla_aprendizaje                                                                                                                peso                                                                                                                             decimal                                                                                                                                              NULL YES        
regla_aprendizaje                                                                                                                veces_usada                                                                                                                      int                                                                                                                                                  NULL YES        
regla_aprendizaje                                                                                                                veces_acertada                                                                                                                   int                                                                                                                                                  NULL YES        
regla_aprendizaje                                                                                                                ultima_actualizacion                                                                                                             datetime                                                                                                                                             NULL YES        
regla_aprendizaje                                                                                                                activa                                                                                                                           bit                                                                                                                                                  NULL YES        
reset_tokens                                                                                                                     id                                                                                                                               int                                                                                                                                                  NULL NO         
reset_tokens                                                                                                                     idtrabajador                                                                                                                     int                                                                                                                                                  NULL NO         
reset_tokens                                                                                                                     token                                                                                                                            varchar                                                                                                                                               100 NO         
reset_tokens                                                                                                                     expires_at                                                                                                                       datetime                                                                                                                                             NULL NO         
reset_tokens                                                                                                                     used                                                                                                                             bit                                                                                                                                                  NULL NO         
reset_tokens                                                                                                                     created_at                                                                                                                       datetime                                                                                                                                             NULL NO         
rol                                                                                                                              idrol                                                                                                                            int                                                                                                                                                  NULL NO         
rol                                                                                                                              nombre                                                                                                                           varchar                                                                                                                                                50 NO         
rol                                                                                                                              descripcion                                                                                                                      varchar                                                                                                                                               255 YES        
rol                                                                                                                              nivel                                                                                                                            int                                                                                                                                                  NULL NO         
rol                                                                                                                              activo                                                                                                                           bit                                                                                                                                                  NULL NO         
rol_permiso                                                                                                                      idrol                                                                                                                            int                                                                                                                                                  NULL NO         
rol_permiso                                                                                                                      idpermiso                                                                                                                        int                                                                                                                                                  NULL NO         
tasa_cambio                                                                                                                      idtasa                                                                                                                           int                                                                                                                                                  NULL NO         
tasa_cambio                                                                                                                      idfuente                                                                                                                         int                                                                                                                                                  NULL NO         
tasa_cambio                                                                                                                      moneda_origen                                                                                                                    varchar                                                                                                                                                 3 NO         
tasa_cambio                                                                                                                      moneda_destino                                                                                                                   varchar                                                                                                                                                 3 NO         
tasa_cambio                                                                                                                      tasa                                                                                                                             decimal                                                                                                                                              NULL NO         
tasa_cambio                                                                                                                      fecha                                                                                                                            date                                                                                                                                                 NULL NO         
tasa_cambio                                                                                                                      fecha_hora_registro                                                                                                              datetime                                                                                                                                             NULL NO         
tasa_cambio                                                                                                                      usuario_registro                                                                                                                 varchar                                                                                                                                               100 YES        
tasa_cambio                                                                                                                      confirmada                                                                                                                       bit                                                                                                                                                  NULL NO         
tasa_cambio                                                                                                                      observaciones                                                                                                                    varchar                                                                                                                                               255 YES        
trabajador                                                                                                                       idtrabajador                                                                                                                     int                                                                                                                                                  NULL NO         
trabajador                                                                                                                       nombre                                                                                                                           varchar                                                                                                                                                40 NO         
trabajador                                                                                                                       apellidos                                                                                                                        varchar                                                                                                                                                41 NO         
trabajador                                                                                                                       sexo                                                                                                                             varchar                                                                                                                                                 1 NO         
trabajador                                                                                                                       fecha_nacimiento                                                                                                                 date                                                                                                                                                 NULL NO         
trabajador                                                                                                                       num_documento                                                                                                                    varchar                                                                                                                                                20 NO         
trabajador                                                                                                                       direccion                                                                                                                        varchar                                                                                                                                               100 YES        
trabajador                                                                                                                       telefono                                                                                                                         varchar                                                                                                                                                20 YES        
trabajador                                                                                                                       email                                                                                                                            varchar                                                                                                                                                50 NO         
trabajador                                                                                                                       usuario                                                                                                                          varchar                                                                                                                                                20 NO         
trabajador                                                                                                                       password_hash                                                                                                                    varchar                                                                                                                                               255 NO         
trabajador                                                                                                                       idrol                                                                                                                            int                                                                                                                                                  NULL YES        
venta                                                                                                                            idventa                                                                                                                          int                                                                                                                                                  NULL NO         
venta                                                                                                                            idcliente                                                                                                                        int                                                                                                                                                  NULL YES        
venta                                                                                                                            idtrabajador                                                                                                                     int                                                                                                                                                  NULL NO         
venta                                                                                                                            fecha                                                                                                                            date                                                                                                                                                 NULL NO         
venta                                                                                                                            tipo_comprobante                                                                                                                 varchar                                                                                                                                                20 NO         
venta                                                                                                                            serie                                                                                                                            varchar                                                                                                                                                 4 NO         
venta                                                                                                                            numero_comprobante                                                                                                               varchar                                                                                                                                                 7 NO         
venta                                                                                                                            igv                                                                                                                              decimal                                                                                                                                              NULL NO         
venta                                                                                                                            estado                                                                                                                           varchar                                                                                                                                                20 NO         
venta                                                                                                                            idpedido                                                                                                                         int                                                                                                                                                  NULL YES        
venta                                                                                                                            observaciones                                                                                                                    text                                                                                                                                           2147483647 YES        
venta                                                                                                                            fecha_hora                                                                                                                       datetime                                                                                                                                             NULL NO         
venta                                                                                                                            moneda                                                                                                                           varchar                                                                                                                                                 3 NO         
venta                                                                                                                            tasa_cambio                                                                                                                      decimal                                                                                                                                              NULL NO         
venta                                                                                                                            monto_bs                                                                                                                         decimal                                                                                                                                              NULL YES        
venta                                                                                                                            monto_divisa                                                                                                                     decimal                                                                                                                                              NULL YES        
vw_articulos_por_vencer                                                                                                          idlote                                                                                                                           int                                                                                                                                                  NULL NO         
vw_articulos_por_vencer                                                                                                          codigo                                                                                                                           varchar                                                                                                                                                50 NO         
vw_articulos_por_vencer                                                                                                          articulo                                                                                                                         varchar                                                                                                                                               100 NO         
vw_articulos_por_vencer                                                                                                          codigo_lote                                                                                                                      varchar                                                                                                                                                50 YES        
vw_articulos_por_vencer                                                                                                          fecha_vencimiento                                                                                                                date                                                                                                                                                 NULL YES        
vw_articulos_por_vencer                                                                                                          stock_actual                                                                                                                     int                                                                                                                                                  NULL NO         
vw_articulos_por_vencer                                                                                                          dias_para_vencer                                                                                                                 int                                                                                                                                                  NULL YES        
vw_articulos_vencidos                                                                                                            idlote                                                                                                                           int                                                                                                                                                  NULL NO         
vw_articulos_vencidos                                                                                                            codigo                                                                                                                           varchar                                                                                                                                                50 NO         
vw_articulos_vencidos                                                                                                            articulo                                                                                                                         varchar                                                                                                                                               100 NO         
vw_articulos_vencidos                                                                                                            codigo_lote                                                                                                                      varchar                                                                                                                                                50 YES        
vw_articulos_vencidos                                                                                                            fecha_vencimiento                                                                                                                date                                                                                                                                                 NULL YES        
vw_articulos_vencidos                                                                                                            stock_actual                                                                                                                     int                                                                                                                                                  NULL NO         
vw_articulos_vencidos                                                                                                            dias_vencidos                                                                                                                    int                                                                                                                                                  NULL YES        
vw_kardex_reciente                                                                                                               idkardex                                                                                                                         int                                                                                                                                                  NULL NO         
vw_kardex_reciente                                                                                                               codigo                                                                                                                           varchar                                                                                                                                                50 NO         
vw_kardex_reciente                                                                                                               articulo                                                                                                                         varchar                                                                                                                                               100 NO         
vw_kardex_reciente                                                                                                               fecha_movimiento                                                                                                                 datetime                                                                                                                                             NULL NO         
vw_kardex_reciente                                                                                                               tipo_movimiento                                                                                                                  varchar                                                                                                                                                20 NO         
vw_kardex_reciente                                                                                                               documento_referencia                                                                                                             varchar                                                                                                                                                50 NO         
vw_kardex_reciente                                                                                                               cantidad                                                                                                                         int                                                                                                                                                  NULL NO         
vw_kardex_reciente                                                                                                               precio_unitario                                                                                                                  money                                                                                                                                                NULL NO         
vw_kardex_reciente                                                                                                               valor_total                                                                                                                      money                                                                                                                                                NULL NO         
vw_kardex_reciente                                                                                                               stock_anterior                                                                                                                   int                                                                                                                                                  NULL NO         
vw_kardex_reciente                                                                                                               stock_nuevo                                                                                                                      int                                                                                                                                                  NULL NO         
