=== ESTRUCTURA COMPLETA DE BASE DE DATOS ===

-- TABLAS Y SUS COLUMNAS
TABLE_NAME                                                                                                                       COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        CHARACTER_MAXIMUM_LENGTH IS_NULLABLE
fuente_tasa                                                                                                                      activa                                                                                                                           bit                                                                                                                                                  NULL NO         
fuente_tasa                                                                                                                      prioridad                                                                                                                        int                                                                                                                                                  NULL YES        
historial_correcciones                                                                                                           idcorreccion                                                                                                                     int                                                                                                                                                  NULL NO         
historial_correcciones                                                                                                           producto_nombre                                                                                                                  varchar                                                                                                                                               200 NO         
historial_correcciones                                                                                                           idcategoria_sugerida                                                                                                             int                                                                                                                                                  NULL YES        
historial_correcciones                                                                                                           id_impuesto_sugerido                                                                                                             int                                                                                                                                                  NULL YES        
historial_correcciones                                                                                                           idcategoria_asignada                                                                                                             int                                                                                                                                                  NULL NO         
historial_correcciones                                                                                                           id_impuesto_asignado                                                                                                             int                                                                                                                                                  NULL NO         
historial_correcciones                                                                                                           usuario_id                                                                                                                       int                                                                                                                                                  NULL YES        
historial_correcciones                                                                                                           fecha_correccion                                                                                                                 datetime                                                                                                                                             NULL YES        
historial_correcciones                                                                                                           procesado                                                                                                                        bit                                                                                                                                                  NULL YES        
impuesto                                                                                                                         id_impuesto                                                                                                                      int                                                                                                                                                  NULL NO         
impuesto                                                                                                                         nombre                                                                                                                           varchar                                                                                                                                                50 NO         
impuesto                                                                                                                         porcentaje                                                                                                                       decimal                                                                                                                                              NULL NO         
impuesto                                                                                                                         letra_fiscal                                                                                                                     char                                                                                                                                                    1 NO         
impuesto                                                                                                                         descripcion                                                                                                                      varchar                                                                                                                                               255 YES        
ingreso                                                                                                                          idingreso                                                                                                                        int                                                                                                                                                  NULL NO         
ingreso                                                                                                                          idtrabajador                                                                                                                     int                                                                                                                                                  NULL NO         
ingreso                                                                                                                          idproveedor                                                                                                                      int                                                                                                                                                  NULL NO         
ingreso                                                                                                                          fecha                                                                                                                            date                                                                                                                                                 NULL NO         
ingreso                                                                                                                          tipo_comprobante                                                                                                                 varchar                                                                                                                                                20 NO         
ingreso                                                                                                                          serie                                                                                                                            varchar                                                                                                                                                 4 NO         
ingreso                                                                                                                          numero_comprobante                                                                                                               varchar                                                                                                                                                10 NO         
ingreso                                                                                                                          igv                                                                                                                              decimal                                                                                                                                              NULL NO         
ingreso                                                                                                                          estado                                                                                                                           varchar                                                                                                                                                20 NO         
ingreso                                                                                                                          documento_guia                                                                                                                   varchar                                                                                                                                                50 YES        
ingreso                                                                                                                          observaciones                                                                                                                    text                                                                                                                                           2147483647 YES        
kardex                                                                                                                           idkardex                                                                                                                         int                                                                                                                                                  NULL NO         
kardex                                                                                                                           idarticulo                                                                                                                       int                                                                                                                                                  NULL NO         
kardex                                                                                                                           fecha_movimiento                                                                                                                 datetime                                                                                                                                             NULL NO         
kardex                                                                                                                           tipo_movimiento                                                                                                                  varchar                                                                                                                                                20 NO         
kardex                                                                                                                           documento_referencia                                                                                                             varchar                                                                                                                                                50 NO         
kardex                                                                                                                           cantidad                                                                                                                         int                                                                                                                                                  NULL NO         
kardex                                                                                                                           precio_unitario                                                                                                                  money                                                                                                                                                NULL NO         
kardex                                                                                                                           valor_total                                                                                                                      money                                                                                                                                                NULL NO         
kardex                                                                                                                           stock_anterior                                                                                                                   int                                                                                                                                                  NULL NO         
kardex                                                                                                                           stock_nuevo                                                                                                                      int                                                                                                                                                  NULL NO         
log_auditoria                                                                                                                    id                                                                                                                               int                                                                                                                                                  NULL NO         
log_auditoria                                                                                                                    usuario                                                                                                                          varchar                                                                                                                                               100 NO         
log_auditoria                                                                                                                    accion                                                                                                                           varchar                                                                                                                                                50 NO         
log_auditoria                                                                                                                    tabla_afectada                                                                                                                   varchar                                                                                                                                                50 NO         
log_auditoria                                                                                                                    registro_id                                                                                                                      int                                                                                                                                                  NULL YES        
log_auditoria                                                                                                                    datos_anteriores                                                                                                                 text                                                                                                                                           2147483647 YES        
log_auditoria                                                                                                                    datos_nuevos                                                                                                                     text                                                                                                                                           2147483647 YES        
log_auditoria                                                                                                                    ip_address                                                                                                                       varchar                                                                                                                                                45 YES        
log_auditoria                                                                                                                    fecha_hora                                                                                                                       datetime                                                                                                                                             NULL YES        
lote                                                                                                                             idlote                                                                                                                           int                                                                                                                                                  NULL NO         
lote                                                                                                                             idarticulo                                                                                                                       int                                                                                                                                                  NULL NO         
lote                                                                                                                             idingreso                                                                                                                        int                                                                                                                                                  NULL NO         
lote                                                                                                                             codigo_lote                                                                                                                      varchar                                                                                                                                                50 YES        
lote                                                                                                                             fecha_produccion                                                                                                                 date                                                                                                                                                 NULL YES        
lote                                                                                                                             fecha_vencimiento                                                                                                                date                                                                                                                                                 NULL YES        
lote                                                                                                                             stock_actual                                                                                                                     int                                                                                                                                                  NULL NO         
marcas_conocidas                                                                                                                 idmarca                                                                                                                          int                                                                                                                                                  NULL NO         
marcas_conocidas                                                                                                                 nombre_marca                                                                                                                     varchar                                                                                                                                               100 NO         
marcas_conocidas                                                                                                                 idcategoria_predeterminada                                                                                                       int                                                                                                                                                  NULL YES        
marcas_conocidas                                                                                                                 id_impuesto_predeterminado                                                                                                       int                                                                                                                                                  NULL YES        
marcas_conocidas                                                                                                                 veces_vista                                                                                                                      int                                                                                                                                                  NULL YES        
marcas_conocidas                                                                                                                 fecha_registro                                                                                                                   datetime                                                                                                                                             NULL YES        
marcas_conocidas                                                                                                                 ultima_vez_vista                                                                                                                 datetime                                                                                                                                             NULL YES        
marcas_conocidas                                                                                                                 activa                                                                                                                           bit                                                                                                                                                  NULL YES        
orden_compra                                                                                                                     idorden                                                                                                                          int                                                                                                                                                  NULL NO         
orden_compra                                                                                                                     codigo_factura                                                                                                                   varchar                                                                                                                                                50 NO         
orden_compra                                                                                                                     idproveedor                                                                                                                      int                                                                                                                                                  NULL NO         
orden_compra                                                                                                                     idtrabajador                                                                                                                     int                                                                                                                                                  NULL NO         
orden_compra                                                                                                                     fecha_orden                                                                                                                      datetime                                                                                                                                             NULL YES        
orden_compra                                                                                                                     fecha_compra                                                                                                                     date                                                                                                                                                 NULL NO         
orden_compra                                                                                                                     fecha_estimada_llegada                                                                                                           date                                                                                                                                                 NULL YES        
orden_compra                                                                                                                     monto_total_usd                                                                                                                  decimal                                                                                                                                              NULL NO         
orden_compra                                                                                                                     monto_total_bs                                                                                                                   decimal                                                                                                                                              NULL YES        
orden_compra                                                                                                                     tasa_bcv                                                                                                                         decimal                                                                                                                                              NULL YES        
orden_compra                                                                                                                     archivo_adjunto                                                                                                                  varchar                                                                                                                                               255 YES        
orden_compra                                                                                                                     estatus                                                                                                                          varchar                                                                                                                                                20 YES        
orden_compra                                                                                                                     observaciones                                                                                                                    text                                                                                                                                           2147483647 YES        
orden_compra                                                                                                                     created_at                                                                                                                       datetime                                                                                                                                             NULL YES        
palabras_familia                                                                                                                 idrelacion                                                                                                                       int                                                                                                                                                  NULL NO         
palabras_familia                                                                                                                 idpalabra                                                                                                                        int                                                                                                                                                  NULL NO         
palabras_familia                                                                                                                 idfamilia                                                                                                                        int                                                                                                                                                  NULL NO         
palabras_familia                                                                                                                 fecha_asignacion                                                                                                                 datetime                                                                                                                                             NULL YES        
pedido                                                                                                                           idpedido                                                                                                                         int                                                                                                                                                  NULL NO         
pedido                                                                                                                           idcliente                                                                                                                        int                                                                                                                                                  NULL NO         
pedido                                                                                                                           idtrabajador                                                                                                                     int                                                                                                                                                  NULL NO         
pedido                                                                                                                           fecha_pedido                                                                                                                     datetime                                                                                                                                             NULL NO         
pedido                                                                                                                           fecha_entrega                                                                                                                    date                                                                                                                                                 NULL YES        
pedido                                                                                                                           estado                                                                                                                           varchar                                                                                                                                                20 NO         
pedido                                                                                                                           tipo_pago                                                                                                                        varchar                                                                                                                                                20 NO         
pedido                                                                                                                           observaciones                                                                                                                    text                                                                                                                                           2147483647 YES        
permiso                                                                                                                          idpermiso                                                                                                                        int                                                                                                                                                  NULL NO         
permiso                                                                                                                          nombre                                                                                                                           varchar                                                                                                                                                50 NO         
permiso                                                                                                                          descripcion                                                                                                                      varchar                                                                                                                                               255 YES        
permiso                                                                                                                          modulo                                                                                                                           varchar                                                                                                                                                50 NO         
prefijos_codigo_barras                                                                                                           idprefijo                                                                                                                        int                                                                                                                                                  NULL NO         
prefijos_codigo_barras                                                                                                           prefijo                                                                                                                          varchar                                                                                                                                                 5 NO         
prefijos_codigo_barras                                                                                                           pais                                                                                                                             varchar                                                                                                                                               100 NO         
prefijos_codigo_barras                                                                                                           continente                                                                                                                       varchar                                                                                                                                                50 YES        
prefijos_codigo_barras                                                                                                           idcategoria_sugerida                                                                                                             int                                                                                                                                                  NULL YES        
prefijos_codigo_barras                                                                                                           id_impuesto_sugerido                                                                                                             int                                                                                                                                                  NULL YES        
prefijos_codigo_barras                                                                                                           descripcion                                                                                                                      varchar                                                                                                                                               255 YES        
prefijos_codigo_barras                                                                                                           activo                                                                                                                           bit                                                                                                                                                  NULL YES        
prefijos_codigo_barras                                                                                                           fecha_registro                                                                                                                   datetime                                                                                                                                             NULL YES        
presentacion                                                                                                                     idpresentacion                                                                                                                   int                                                                                                                                                  NULL NO         
presentacion                                                                                                                     nombre                                                                                                                           varchar                                                                                                                                                50 NO         
presentacion                                                                                                                     descripcion                                                                                                                      varchar                                                                                                                                               256 YES        
promocion                                                                                                                        id_promocion                                                                                                                     int                                                                                                                                                  NULL NO         
promocion                                                                                                                        id_articulo                                                                                                                      int                                                                                                                                                  NULL NO         
promocion                                                                                                                        cantidad_minima                                                                                                                  int                                                                                                                                                  NULL NO         
promocion                                                                                                                        precio_especial                                                                                                                  decimal                                                                                                                                              NULL NO         
